date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:06:57	183/183	---M-Z	200	added ('OK')	text/plain	etag:%226dc7a57b2a8d41:0%22	https://www.tatapower.com/robots.txt		(from )
08:06:58	81107/81107	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2015:07:18%20GMT	https://www.tatapower.com/	C:/10Intership/tata%20electric/www.tatapower.com/index.html	(from )
08:06:58	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2014%20Oct%202022%2015:07:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/10Intership/tata%20electric/www.googletagmanager.com/gtm.05445.delayed	(from https://www.tatapower.com/)
08:06:58	541/541	---M-Z	200	added ('OK')	application/javascript	etag:%2258dc57c7a41ad41:0%22	https://www.tatapower.com/js/track-outbound.js	C:/10Intership/tata%20electric/www.tatapower.com/js/track-outbound.js	(from https://www.tatapower.com/)
08:06:59	0/0	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2014%20Oct%202022%2015:07:19%20GMT	https://client.xbotapps.com/webintegration/scripts/3594697a-c4cb-4ded-b6e7-24c1f6e4fc21.js	C:/10Intership/tata%20electric/client.xbotapps.com/webintegration/scripts/3594697a-c4cb-4ded-b6e7-24c1f6e4fc21.2.delayed	(from https://www.tatapower.com/)
08:06:59	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22b2d7795441f9d21:0%22	https://www.tatapower.com/images/favicon.ico	C:/10Intership/tata%20electric/www.tatapower.com/images/favicon.ico	(from https://www.tatapower.com/)
08:06:59	27128/27128	---M-Z	200	added ('OK')	text/css	etag:%2203b9af841f3d71:0%22	https://www.tatapower.com/css/style.css	C:/10Intership/tata%20electric/www.tatapower.com/css/style.css	(from https://www.tatapower.com/)
08:06:59	3839/3839	---M-Z	200	added ('OK')	text/css	etag:%228065b4a6f04cd51:0%22	https://www.tatapower.com/css/fullpage.css	C:/10Intership/tata%20electric/www.tatapower.com/css/fullpage.css	(from https://www.tatapower.com/)
08:07:00	47922/47922	---M-Z	200	added ('OK')	text/css	etag:%2280df3ea2ce8d71:0%22	https://www.tatapower.com/css/home-main.css	C:/10Intership/tata%20electric/www.tatapower.com/css/home-main.css	(from https://www.tatapower.com/)
08:07:00	54715/54715	---M-Z	200	added ('OK')	text/css	etag:%220662c587518d11:0%22	https://www.tatapower.com/css/animate.min.css	C:/10Intership/tata%20electric/www.tatapower.com/css/animate.min.css	(from https://www.tatapower.com/)
08:07:00	1305/1305	---M-Z	200	added ('OK')	text/css	etag:%2252d56283cd84d51:0%22	https://www.tatapower.com/css/slick.css	C:/10Intership/tata%20electric/www.tatapower.com/css/slick.css	(from https://www.tatapower.com/)
08:07:01	2073/2073	---M-Z	200	added ('OK')	text/css	etag:%227eb4b6cbf04cd51:0%22	https://www.tatapower.com/css/colorbox-popup.css	C:/10Intership/tata%20electric/www.tatapower.com/css/colorbox-popup.css	(from https://www.tatapower.com/)
08:07:01	43159/43159	---M-Z	200	added ('OK')	text/css	etag:%2204fcd6f04cd51:0%22	https://www.tatapower.com/css/jquery.mCustomScrollbar.css	C:/10Intership/tata%20electric/www.tatapower.com/css/jquery.mCustomScrollbar.css	(from https://www.tatapower.com/)
08:07:01	24176/24176	---M-Z	200	added ('OK')	text/css	etag:%2280233c719cbd81:0%22	https://www.tatapower.com/css/nav.css	C:/10Intership/tata%20electric/www.tatapower.com/css/nav.css	(from https://www.tatapower.com/)
